ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-11-18,11910173150.812004,5810197470.468665,17305562354.214516,11910173150.812004,11910173150.812004,-378362385.62284374,-378362385.62284374,-378362385.62284374,2132986054.760308,2132986054.760308,2132986054.760308,-507539372.76069003,-507539372.76069003,-507539372.76069003,-2003809067.6224616,-2003809067.6224616,-2003809067.6224616,0.0,0.0,0.0,11531810765.18916
2020-11-19,11902892225.867115,5978214557.665045,18049016725.086334,11902892225.867115,11902892225.867115,-92608371.90755263,-92608371.90755263,-92608371.90755263,2132986054.760308,2132986054.760308,2132986054.760308,-153732355.90271062,-153732355.90271062,-153732355.90271062,-2071862070.76515,-2071862070.76515,-2071862070.76515,0.0,0.0,0.0,11810283853.959562
2020-11-20,11895611300.922224,7492703630.489604,19412691003.898827,11895611300.922224,11895611300.922224,1380715654.1620953,1380715654.1620953,1380715654.1620953,2132986054.760308,2132986054.760308,2132986054.760308,1358968902.055493,1358968902.055493,1358968902.055493,-2111239302.6537058,-2111239302.6537058,-2111239302.6537058,0.0,0.0,0.0,13276326955.08432
2020-11-23,11873768526.087557,5999065080.240653,18257442639.265533,11873768526.087557,11873768526.087557,240217685.81834418,240217685.81834418,240217685.81834418,2132986054.760308,2132986054.760308,2132986054.760308,142761004.01205227,142761004.01205227,142761004.01205227,-2035529372.9540162,-2035529372.9540162,-2035529372.9540162,0.0,0.0,0.0,12113986211.905901
2020-11-24,11866487601.142666,6174919282.490032,17093961949.63129,11866487601.142666,11866487601.142666,-116019467.87657912,-116019467.87657912,-116019467.87657912,2132986054.760308,2132986054.760308,2132986054.760308,-307212085.63526523,-307212085.63526523,-307212085.63526523,-1941793437.001622,-1941793437.001622,-1941793437.001622,0.0,0.0,0.0,11750468133.266087
2020-11-25,11859206676.197777,5903524579.629013,18034183456.42922,11859206676.197777,11859206676.197777,-188265111.52236018,-188265111.52236018,-188265111.52236018,2132986054.760308,2132986054.760308,2132986054.760308,-507539372.7601678,-507539372.7601678,-507539372.7601678,-1813711793.5225005,-1813711793.5225005,-1813711793.5225005,0.0,0.0,0.0,11670941564.675417
2020-11-27,11844644826.307999,8518158095.212256,19876592768.199165,11844644826.307999,11844644826.307999,2032277931.318469,2032277931.318469,2032277931.318469,2132986054.760308,2132986054.760308,2132986054.760308,1358968902.0552485,1358968902.0552485,1358968902.0552485,-1459677025.4970875,-1459677025.4970875,-1459677025.4970875,0.0,0.0,0.0,13876922757.626469
2020-11-30,11822802051.47333,7530519522.486647,19619743605.86002,11822802051.47333,11822802051.47333,1552868159.1808383,1552868159.1808383,1552868159.1808383,2132986054.760308,2132986054.760308,2132986054.760308,142761004.01567695,142761004.01567695,142761004.01567695,-722878899.5951467,-722878899.5951467,-722878899.5951467,0.0,0.0,0.0,13375670210.654167
2020-12-01,11815521126.52844,7365578804.853763,18771591743.74716,11815521126.52844,11815521126.52844,1388276136.3197522,1388276136.3197522,1388276136.3197522,2132986054.760308,2132986054.760308,2132986054.760308,-307212085.6390441,-307212085.6390441,-307212085.6390441,-437497832.80151165,-437497832.80151165,-437497832.80151165,0.0,0.0,0.0,13203797262.848192
2020-12-02,11808240201.58355,7382217881.608206,19104199749.241405,11808240201.58355,11808240201.58355,1485309159.8139732,1485309159.8139732,1485309159.8139732,2132986054.760308,2132986054.760308,2132986054.760308,-507539372.76148385,-507539372.76148385,-507539372.76148385,-140137522.18485084,-140137522.18485084,-140137522.18485084,0.0,0.0,0.0,13293549361.397522
2020-12-03,11800959276.63866,7739317551.185013,19402813806.005795,11800959276.63866,11800959276.63866,2143096649.829723,2143096649.829723,2143096649.829723,2132986054.760308,2132986054.760308,2132986054.760308,-153732355.9001807,-153732355.9001807,-153732355.9001807,163842950.96959546,163842950.96959546,163842950.96959546,0.0,0.0,0.0,13944055926.468384
2020-12-04,11793678351.693771,10213615000.380388,21943872812.926826,11793678351.693771,11793678351.693771,3960787613.6204367,3960787613.6204367,3960787613.6204367,2132986054.760308,2132986054.760308,2132986054.760308,1358968902.0558262,1358968902.0558262,1358968902.0558262,468832656.8043026,468832656.8043026,468832656.8043026,0.0,0.0,0.0,15754465965.314209
2020-12-07,11771835576.859102,9565453153.710293,21074472711.46349,11771835576.859102,11771835576.859102,3608332712.060787,3608332712.060787,3608332712.060787,2132986054.760308,2132986054.760308,2132986054.760308,142761004.01766744,142761004.01766744,142761004.01766744,1332585653.2828114,1332585653.2828114,1332585653.2828114,0.0,0.0,0.0,15380168288.91989
2020-12-08,11764554651.914213,9551956726.801723,21064163542.18918,11764554651.914213,11764554651.914213,3410629381.664935,3410629381.664935,3410629381.664935,2132986054.760308,2132986054.760308,2132986054.760308,-307212085.6377738,-307212085.6377738,-307212085.6377738,1584855412.5424008,1584855412.5424008,1584855412.5424008,0.0,0.0,0.0,15175184033.579147
2020-12-09,11757273726.969324,9230179230.311884,21517708472.671604,11757273726.969324,11757273726.969324,3436164902.8786683,3436164902.8786683,3436164902.8786683,2132986054.760308,2132986054.760308,2132986054.760308,-507539372.76096183,-507539372.76096183,-507539372.76096183,1810718220.8793218,1810718220.8793218,1810718220.8793218,0.0,0.0,0.0,15193438629.847992
