Date,Close,Volume,CashInflow
,DHER.DE,DHER.DE,
2021-06-09,110.55000305175781,423330,46799132.791900635
2021-06-10,109.9000015258789,475907,52302180.02617645
2021-06-11,111.05000305175781,351033,38982215.7212677
2021-06-14,111.1500015258789,509104,56586910.376831055
2021-06-15,109.5,428324,46901478.0
2021-06-16,109.4000015258789,483512,52896213.53778076
2021-06-17,109.0,611704,66675736.0
2021-06-18,107.94999694824219,1858881,200666198.2771454
2021-06-21,107.4000015258789,517581,55588200.18976593
2021-06-22,108.0,396269,42797052.0
2021-06-23,106.0,361471,38315926.0
2021-06-24,108.75,472751,51411671.25
2021-06-25,108.44999694824219,254910,27644988.722076416
2021-06-28,110.4000015258789,243514,26883945.971572876
2021-06-29,114.25,440873,50369740.25
2021-06-30,111.4000015258789,365572,40724721.3578186
2021-07-01,113.4000015258789,413656,46908591.031188965
2021-07-02,117.3499984741211,446550,52402641.818618774
2021-07-05,116.4000015258789,267318,31115815.607894897
2021-07-06,119.6500015258789,348242,41667155.83137512
2021-07-07,123.9000015258789,570547,70690774.17058563
2021-07-08,121.8499984741211,519378,63286208.507492065
2021-07-09,119.1500015258789,416888,49672205.836120605
2021-07-12,122.69999694824219,329207,40393697.895339966
2021-07-13,123.3499984741211,310051,38244790.37689972
2021-07-14,122.9000015258789,386218,47466192.7893219
2021-07-15,122.4000015258789,544136,66602247.230285645
2021-07-16,121.8499984741211,421462,51355144.056900024
2021-07-19,121.19999694824219,436641,52920887.86747742
2021-07-20,120.55000305175781,350918,42303165.97091675
2021-07-21,121.30000305175781,353301,42855412.37818909
2021-07-22,128.10000610351562,666398,85365587.8673706
2021-07-23,129.39999389648438,349287,45197735.66812134
2021-07-26,127.75,257925,32949918.75
2021-07-27,123.80000305175781,344704,42674356.251953125
2021-07-28,125.1500015258789,355895,44540259.79305267
2021-07-29,125.0,320133,40016625.0
2021-07-30,126.19999694824219,316510,39943561.034088135
2021-08-02,128.1999969482422,256766,32917400.416412354
2021-08-03,127.44999694824219,280324,35727292.94451904
2021-08-04,130.10000610351562,428213,55710513.91360474
2021-08-05,131.0,306251,40118881.0
2021-08-06,131.14999389648438,381433,50024935.621917725
2021-08-09,126.94999694824219,454228,57664243.21380615
2021-08-10,126.94999694824219,335306,42567095.676727295
2021-08-11,125.94999694824219,371291,46764100.31690979
2021-08-12,116.4000015258789,1087444,126578483.25930786
2021-08-13,116.0,692083,80281628.0
2021-08-16,114.94999694824219,369408,42463448.47265625
2021-08-17,114.80000305175781,403531,46325360.03147888
2021-08-18,115.69999694824219,406206,46998032.960357666
2021-08-19,116.5999984741211,396477,46229217.59502411
2021-08-20,115.75,266408,30836726.0
2021-08-23,118.05000305175781,215990,25497620.15914917
2021-08-24,124.75,596271,74384807.25
2021-08-25,123.19999694824219,614080,75654654.12597656
2021-08-26,119.25,478734,57089029.5
2021-08-27,120.0,359706,43164720.0
2021-08-30,118.30000305175781,266300,31503290.812683105
2021-08-31,122.5999984741211,1186537,145469434.38948822
2021-09-01,130.1999969482422,671382,87413934.35110474
2021-09-02,131.8000030517578,530022,69856901.21749878
2021-09-03,129.25,552010,71347292.5
2021-09-06,131.85000610351562,227437,29987569.838165283
2021-09-07,132.10000610351562,442920,58509734.70336914
2021-09-08,130.0,451746,58726980.0
2021-09-09,131.39999389648438,360172,47326598.60168457
2021-09-10,131.39999389648438,442727,58174325.09780884
2021-09-13,129.0,330985,42697065.0
2021-09-14,126.75,653884,82879797.0
2021-09-15,124.30000305175781,471674,58629079.639434814
2021-09-16,123.8499984741211,359575,44533363.20133209
2021-09-17,123.30000305175781,966032,119111748.5480957
2021-09-20,118.4000015258789,576207,68222909.6792221
2021-09-21,119.8499984741211,343311,41145822.82614899
2021-09-22,120.19999694824219,277034,33299485.954559326
2021-09-23,120.0999984741211,237138,28480273.438156128
2021-09-24,117.6500015258789,323023,38003656.44289398
2021-09-27,116.5999984741211,366395,42721656.4409256
2021-09-28,113.44999694824219,541625,61447354.597091675
2021-09-29,112.75,344674,38861993.5
2021-09-30,110.44999694824219,522465,57706257.655563354
2021-10-01,109.55000305175781,657831,72065388.0575409
2021-10-04,105.25,473594,49845768.5
2021-10-05,105.4000015258789,745152,78539021.93701172
2021-10-06,103.5,767265,79411927.5
2021-10-07,107.1500015258789,558403,59832882.30205536
2021-10-08,108.0,500887,54095796.0
2021-10-11,107.6500015258789,521225,56109872.04532623
2021-10-12,109.3499984741211,516366,56464621.31208801
2021-10-13,110.94999694824219,566073,62805797.6224823
2021-10-14,110.5,476754,52681317.0
2021-10-15,114.5999984741211,425316,48741212.95101929
2021-10-18,114.19999694824219,251380,28707595.23284912
2021-10-19,115.6500015258789,313164,36217417.07785034
2021-10-20,117.1500015258789,252765,29611420.13568878
2021-10-21,118.80000305175781,279835,33244398.853988647
2021-10-22,114.4000015258789,367309,42020150.160469055
2021-10-25,112.3499984741211,320629,36022667.66075897
2021-10-26,114.25,308091,35199396.75
2021-10-27,110.6500015258789,345007,38175025.076438904
2021-10-28,110.55000305175781,339422,37523103.13583374
2021-10-29,107.55000305175781,396880,42684445.21118164
2021-11-01,107.4000015258789,369206,39652724.96336365
2021-11-02,107.75,357321,38501337.75
2021-11-03,108.0,273411,29528388.0
2021-11-04,109.55000305175781,308692,33817209.54205322
2021-11-05,107.5999984741211,394150,42410539.39857483
2021-11-08,106.94999694824219,228114,24396791.60385132
2021-11-09,109.75,429071,47090542.25
2021-11-10,111.9000015258789,574420,64277598.87649536
2021-11-11,113.5,527660,59889410.0
2021-11-12,118.75,638226,75789337.5
2021-11-15,121.44999694824219,407557,49497796.40623474
2021-11-16,126.0,632729,79723854.0
2021-11-17,128.5,574365,73805902.5
2021-11-18,126.69999694824219,700637,88770705.76182556
2021-11-19,128.3000030517578,675525,86669859.5615387
2021-11-22,125.0,504369,63046125.0
2021-11-23,119.0,633746,75415774.0
2021-11-24,118.30000305175781,493736,58408970.306762695
2021-11-25,113.69999694824219,492777,56028743.39616394
2021-11-26,116.94999694824219,781073,91346484.96635437
2021-11-29,119.30000305175781,564364,67328626.92230225
2021-11-30,117.69999694824219,775878,91320838.23220825
2021-12-01,115.75,420070,48623102.5
2021-12-02,107.4000015258789,1087065,116750782.65872955
2021-12-03,102.44999694824219,987612,101180846.38604736
2021-12-06,99.80000305175781,1302652,130004673.57537842
2021-12-07,99.80000305175781,0,0.0
2021-12-08,109.25,644928,70458384.0
2021-12-09,107.05000305175781,698461,74770252.18153381
2021-12-10,103.8499984741211,491667,51059617.199775696
2021-12-13,100.25,426141,42720635.25
2021-12-14,96.95999908447266,695783,67463119.04299164
2021-12-15,95.13999938964844,589458,56081033.76022339
2021-12-16,93.68000030517578,885639,82966661.79027557
2021-12-17,91.5999984741211,1389166,127247603.4803009
2021-12-20,89.16000366210938,725413,64677825.73654175
2021-12-21,92.26000213623047,616195,56850152.01633453
2021-12-22,99.05999755859375,1301919,128968092.96148682
2021-12-23,98.41999816894531,401893,39554308.32411194
2021-12-27,98.4000015258789,285022,28046165.234909058
